"","X","npar","nSearchesBatch","expr","min","lq","mean","median","uq","max","neval"
"1",9,1,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",248.696604692,250.5875507315,251.853261687667,252.478496771,253.4315901855,254.3846836,3
"2",17,1,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",160.583121508,160.870891668,161.082863597667,161.158661828,161.3327346425,161.506807457,3
"3",1,1,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",340.358098838,345.8937378765,350.269955029333,351.429376915,355.225883125,359.022389335,3
"4",25,1,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",151.020528582,151.289282209,153.038840048667,151.558035836,154.047995782,156.537955728,3
"5",10,2,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",119.216680648,123.3457792885,125.106881052667,127.474877929,128.051981255,128.629084581,3
"6",18,2,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",83.007592897,86.297697869,87.6079818026667,89.587802841,89.9081762555,90.22854967,3
"7",2,2,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",184.88160857,187.0141090575,188.386329689,189.146609545,190.1386902485,191.130770952,3
"8",26,2,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",74.546721009,76.0759422825,77.9887674813333,77.605163556,79.7097907175,81.814417879,3
"9",11,3,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",68.783833659,73.2522396655,75.4526023883333,77.720645672,78.786986753,79.853327834,3
"10",19,3,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",60.390713682,62.2440412765,64.0516510813333,64.097368871,65.882119781,67.666870691,3
"11",3,3,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",107.27347639,108.6917883885,110.134331304333,110.110100387,111.5647587615,113.019417136,3
"12",27,3,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",55.661238655,59.2539529155,62.1075995016667,62.846667176,65.330779925,67.814892674,3
"13",12,4,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",55.915509551,56.275535507,57.5665003276667,56.635561463,58.391995716,60.148429969,3
"14",20,4,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",43.679764863,45.991955917,49.6061101853333,48.304146971,52.5692828465,56.834418722,3
"15",4,4,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",62.56085667,70.036595242,73.553350047,77.512333814,79.0495967355,80.586859657,3
"16",13,5,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",44.222557343,49.956372723,52.253738552,55.690188103,56.2693291565,56.84847021,3
"17",21,5,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",49.688731004,50.5642902425,51.607217033,51.439849481,52.5664600475,53.693070614,3
"18",5,5,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",60.490531574,62.970312348,66.7090470843333,65.450093122,69.8183048395,74.186516557,3
"19",29,5,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",36.461981953,38.8090505045,40.0160907546667,41.156119056,41.7931451555,42.430171255,3
"20",14,6,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",35.16018622,37.029728093,43.774468798,38.899269966,48.081610087,57.263950208,3
"21",22,6,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",30.179443052,31.9046328105,32.9941079946667,33.629822569,34.401440466,35.173058363,3
"22",6,6,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",54.08376036,56.1452609785,59.622295267,58.206761597,62.3915627205,66.576363844,3
"23",30,6,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",23.408301858,31.59974947,35.9318878363333,39.791197082,42.1936808255,44.596164569,3
"24",15,7,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",45.961261794,47.302620237,48.543113522,48.64397868,49.834039386,51.024100092,3
"25",23,7,300,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",32.926102492,41.8586981755,46.1432740656667,50.791293859,52.7518598525,54.712425846,3
"26",7,7,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",50.150677623,53.1645739045,56.4485512666667,56.178470186,59.5974880885,63.016505991,3
"27",31,7,500,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",36.329246842,39.2590047005,40.6020685166667,42.188762559,42.738479354,43.288196149,3
"28",16,8,100,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",42.115298265,45.9283239465,50.8723967723333,49.741349628,55.250946026,60.760542424,3
"29",8,8,50,"testBench(npar = params$npar[x], nSearchesBatch = params$nSearchesBatch[x])",49.239122384,52.930510734,63.5480965133333,56.621899084,70.702583578,84.783268072,3
